epoch 0, test loss is 0.5287,  test sen is 0.0000, test spe is 0.0588, test F1 is 0.0001, test acc is 0.8981, test kappa is -0.0000, 
epoch 1, test loss is 0.5141,  test sen is 0.0000, test spe is 1.0000, test F1 is 0.0001, test acc is 0.8981, test kappa is 0.0001, 
epoch 2, test loss is 0.5504,  test sen is 0.0000, test spe is 0.0769, test F1 is 0.0001, test acc is 0.8981, test kappa is -0.0000, 
epoch 3, test loss is 0.5915,  test sen is 0.0035, test spe is 0.1264, test F1 is 0.0069, test acc is 0.8960, test kappa is 0.0013, 
epoch 4, test loss is 0.6087,  test sen is 0.0089, test spe is 0.1385, test F1 is 0.0167, test acc is 0.8934, test kappa is 0.0045, 
epoch 5, test loss is 0.6078,  test sen is 0.0206, test spe is 0.1847, test F1 is 0.0371, test acc is 0.8909, test kappa is 0.0170, 
epoch 6, test loss is 0.5513,  test sen is 0.0259, test spe is 0.3991, test F1 is 0.0486, test acc is 0.8968, test kappa is 0.0366, 
epoch 7, test loss is 0.6083,  test sen is 0.0496, test spe is 0.1720, test F1 is 0.0770, test acc is 0.8788, test kappa is 0.0329, 
epoch 8, test loss is 0.5970,  test sen is 0.0488, test spe is 0.2181, test F1 is 0.0798, test acc is 0.8852, test kappa is 0.0442, 
epoch 9, test loss is 0.5502,  test sen is 0.0286, test spe is 0.2020, test F1 is 0.0500, test acc is 0.8895, test kappa is 0.0254, 
epoch 10, test loss is 0.5317,  test sen is 0.0185, test spe is 0.1827, test F1 is 0.0335, test acc is 0.8916, test kappa is 0.0151, 
epoch 11, test loss is 0.5489,  test sen is 0.0144, test spe is 0.1825, test F1 is 0.0267, test acc is 0.8930, test kappa is 0.0120, 
epoch 12, test loss is 0.4967,  test sen is 0.0128, test spe is 0.2466, test F1 is 0.0243, test acc is 0.8954, test kappa is 0.0144, 
epoch 13, test loss is 0.5190,  test sen is 0.0119, test spe is 0.2354, test F1 is 0.0227, test acc is 0.8954, test kappa is 0.0130, 
epoch 14, test loss is 0.5358,  test sen is 0.0118, test spe is 0.2240, test F1 is 0.0224, test acc is 0.8951, test kappa is 0.0123, 
epoch 15, test loss is 0.5431,  test sen is 0.0118, test spe is 0.2192, test F1 is 0.0225, test acc is 0.8950, test kappa is 0.0122, 
epoch 16, test loss is 0.5434,  test sen is 0.0119, test spe is 0.2262, test F1 is 0.0227, test acc is 0.8952, test kappa is 0.0126, 
epoch 17, test loss is 0.5159,  test sen is 0.0119, test spe is 0.2539, test F1 is 0.0228, test acc is 0.8957, test kappa is 0.0138, 
epoch 18, test loss is 0.5252,  test sen is 0.0125, test spe is 0.2482, test F1 is 0.0237, test acc is 0.8955, test kappa is 0.0141, 
epoch 19, test loss is 0.5588,  test sen is 0.0127, test spe is 0.1992, test F1 is 0.0239, test acc is 0.8942, test kappa is 0.0118, 
epoch 20, test loss is 0.5211,  test sen is 0.0126, test spe is 0.2299, test F1 is 0.0239, test acc is 0.8951, test kappa is 0.0134, 
epoch 21, test loss is 0.5031,  test sen is 0.0129, test spe is 0.2357, test F1 is 0.0245, test acc is 0.8952, test kappa is 0.0140, 
epoch 22, test loss is 0.5239,  test sen is 0.0113, test spe is 0.2219, test F1 is 0.0215, test acc is 0.8952, test kappa is 0.0117, 
epoch 23, test loss is 0.4803,  test sen is 0.0117, test spe is 0.2570, test F1 is 0.0224, test acc is 0.8958, test kappa is 0.0137, 
epoch 24, test loss is 0.4363,  test sen is 0.0114, test spe is 0.2741, test F1 is 0.0219, test acc is 0.8962, test kappa is 0.0139, 
epoch 25, test loss is 0.4368,  test sen is 0.0115, test spe is 0.2570, test F1 is 0.0220, test acc is 0.8959, test kappa is 0.0134, 
epoch 26, test loss is 0.4533,  test sen is 0.0122, test spe is 0.2311, test F1 is 0.0232, test acc is 0.8952, test kappa is 0.0131, 
epoch 27, test loss is 0.4421,  test sen is 0.0132, test spe is 0.2359, test F1 is 0.0249, test acc is 0.8951, test kappa is 0.0143, 
epoch 28, test loss is 0.4229,  test sen is 0.0126, test spe is 0.2457, test F1 is 0.0240, test acc is 0.8954, test kappa is 0.0142, 
epoch 29, test loss is 0.4492,  test sen is 0.0127, test spe is 0.2155, test F1 is 0.0240, test acc is 0.8947, test kappa is 0.0128, 
epoch 30, test loss is 0.4789,  test sen is 0.0134, test spe is 0.2155, test F1 is 0.0252, test acc is 0.8945, test kappa is 0.0134, 
epoch 31, test loss is 0.5014,  test sen is 0.0128, test spe is 0.1745, test F1 is 0.0238, test acc is 0.8932, test kappa is 0.0101, 
epoch 32, test loss is 0.4807,  test sen is 0.0137, test spe is 0.1730, test F1 is 0.0254, test acc is 0.8928, test kappa is 0.0106, 
epoch 33, test loss is 0.4454,  test sen is 0.0161, test spe is 0.2359, test F1 is 0.0301, test acc is 0.8944, test kappa is 0.0173, 
epoch 34, test loss is 0.4031,  test sen is 0.0153, test spe is 0.2414, test F1 is 0.0287, test acc is 0.8948, test kappa is 0.0168, 
epoch 35, test loss is 0.4130,  test sen is 0.0161, test spe is 0.2338, test F1 is 0.0301, test acc is 0.8944, test kappa is 0.0172, 
epoch 36, test loss is 0.4765,  test sen is 0.0163, test spe is 0.1951, test F1 is 0.0300, test acc is 0.8929, test kappa is 0.0146, 
epoch 37, test loss is 0.3920,  test sen is 0.0165, test spe is 0.2531, test F1 is 0.0309, test acc is 0.8948, test kappa is 0.0187, 
epoch 38, test loss is 0.3769,  test sen is 0.0170, test spe is 0.2546, test F1 is 0.0319, test acc is 0.8948, test kappa is 0.0194, 
epoch 39, test loss is 0.4522,  test sen is 0.7129, test spe is 0.2412, test F1 is 0.3605, test acc is 0.7423, test kappa is 0.2456, 
epoch 40, test loss is 0.4483,  test sen is 0.8260, test spe is 0.2404, test F1 is 0.3724, test acc is 0.7163, test kappa is 0.2548, 
epoch 41, test loss is 0.3925,  test sen is 0.6982, test spe is 0.2606, test F1 is 0.3795, test acc is 0.7674, test kappa is 0.2714, 
epoch 42, test loss is 0.3138,  test sen is 0.7240, test spe is 0.3580, test F1 is 0.4791, test acc is 0.8396, test kappa is 0.3969, 
epoch 43, test loss is 0.3010,  test sen is 0.6956, test spe is 0.3128, test F1 is 0.4316, test acc is 0.8133, test kappa is 0.3386, 
epoch 44, test loss is 0.2918,  test sen is 0.6623, test spe is 0.3941, test F1 is 0.4942, test acc is 0.8618, test kappa is 0.4201, 
epoch 45, test loss is 0.3642,  test sen is 0.7523, test spe is 0.2766, test F1 is 0.4044, test acc is 0.7742, test kappa is 0.3002, 
epoch 46, test loss is 0.3797,  test sen is 0.7880, test spe is 0.2712, test F1 is 0.4035, test acc is 0.7626, test kappa is 0.2969, 
epoch 47, test loss is 0.3692,  test sen is 0.7944, test spe is 0.2601, test F1 is 0.3919, test acc is 0.7488, test kappa is 0.2816, 
epoch 48, test loss is 0.3228,  test sen is 0.7472, test spe is 0.2950, test F1 is 0.4230, test acc is 0.7923, test kappa is 0.3243, 
epoch 49, test loss is 0.3560,  test sen is 0.7163, test spe is 0.2938, test F1 is 0.4167, test acc is 0.7956, test kappa is 0.3181, 
epoch 50, test loss is 0.3808,  test sen is 0.8316, test spe is 0.2684, test F1 is 0.4058, test acc is 0.7519, test kappa is 0.2976, 
epoch 51, test loss is 0.4195,  test sen is 0.8061, test spe is 0.2256, test F1 is 0.3525, test acc is 0.6983, test kappa is 0.2299, 
epoch 52, test loss is 0.3616,  test sen is 0.7276, test spe is 0.2624, test F1 is 0.3857, test acc is 0.7639, test kappa is 0.2775, 
epoch 53, test loss is 0.3259,  test sen is 0.7106, test spe is 0.2960, test F1 is 0.4179, test acc is 0.7983, test kappa is 0.3200, 
epoch 54, test loss is 0.3112,  test sen is 0.6325, test spe is 0.3303, test F1 is 0.4340, test acc is 0.8319, test kappa is 0.3465, 
epoch 55, test loss is 0.3167,  test sen is 0.6928, test spe is 0.3299, test F1 is 0.4470, test acc is 0.8253, test kappa is 0.3584, 
epoch 56, test loss is 0.3001,  test sen is 0.7909, test spe is 0.3437, test F1 is 0.4791, test acc is 0.8248, test kappa is 0.3929, 
epoch 57, test loss is 0.3120,  test sen is 0.7338, test spe is 0.3089, test F1 is 0.4348, test acc is 0.8056, test kappa is 0.3402, 
epoch 58, test loss is 0.3255,  test sen is 0.7964, test spe is 0.2933, test F1 is 0.4287, test acc is 0.7838, test kappa is 0.3288, 
epoch 59, test loss is 0.3218,  test sen is 0.7961, test spe is 0.2838, test F1 is 0.4185, test acc is 0.7745, test kappa is 0.3156, 
epoch 60, test loss is 0.2861,  test sen is 0.7012, test spe is 0.3051, test F1 is 0.4252, test acc is 0.8068, test kappa is 0.3300, 
epoch 61, test loss is 0.2531,  test sen is 0.5697, test spe is 0.4077, test F1 is 0.4753, test acc is 0.8718, test kappa is 0.4045, 
epoch 62, test loss is 0.2466,  test sen is 0.7734, test spe is 0.3558, test F1 is 0.4874, test acc is 0.8342, test kappa is 0.4043, 
epoch 63, test loss is 0.2974,  test sen is 0.7418, test spe is 0.3346, test F1 is 0.4612, test acc is 0.8234, test kappa is 0.3731, 
epoch 64, test loss is 0.3367,  test sen is 0.8099, test spe is 0.2988, test F1 is 0.4365, test acc is 0.7869, test kappa is 0.3380, 
epoch 65, test loss is 0.3163,  test sen is 0.7799, test spe is 0.2828, test F1 is 0.4151, test acc is 0.7761, test kappa is 0.3123, 
epoch 66, test loss is 0.2873,  test sen is 0.5333, test spe is 0.3100, test F1 is 0.3921, test acc is 0.8315, test kappa is 0.3021, 
epoch 67, test loss is 0.2937,  test sen is 0.6761, test spe is 0.3420, test F1 is 0.4542, test acc is 0.8344, test kappa is 0.3688, 
epoch 68, test loss is 0.2570,  test sen is 0.6333, test spe is 0.3653, test F1 is 0.4633, test acc is 0.8505, test kappa is 0.3837, 
epoch 69, test loss is 0.2572,  test sen is 0.6314, test spe is 0.3628, test F1 is 0.4608, test acc is 0.8495, test kappa is 0.3807, 
epoch 70, test loss is 0.2787,  test sen is 0.7495, test spe is 0.3165, test F1 is 0.4450, test acc is 0.8095, test kappa is 0.3522, 
epoch 71, test loss is 0.2782,  test sen is 0.6930, test spe is 0.3507, test F1 is 0.4657, test acc is 0.8380, test kappa is 0.3821, 
epoch 72, test loss is 0.2822,  test sen is 0.7570, test spe is 0.3353, test F1 is 0.4647, test acc is 0.8223, test kappa is 0.3767, 
epoch 73, test loss is 0.2895,  test sen is 0.7433, test spe is 0.3002, test F1 is 0.4277, test acc is 0.7973, test kappa is 0.3305, 
epoch 74, test loss is 0.2594,  test sen is 0.6989, test spe is 0.3637, test F1 is 0.4785, test acc is 0.8448, test kappa is 0.3978, 
epoch 75, test loss is 0.2476,  test sen is 0.6705, test spe is 0.3645, test F1 is 0.4723, test acc is 0.8473, test kappa is 0.3920, 
epoch 76, test loss is 0.2673,  test sen is 0.7329, test spe is 0.3206, test F1 is 0.4461, test acc is 0.8145, test kappa is 0.3546, 
epoch 77, test loss is 0.2509,  test sen is 0.6426, test spe is 0.3580, test F1 is 0.4598, test acc is 0.8462, test kappa is 0.3785, 
epoch 78, test loss is 0.2659,  test sen is 0.6117, test spe is 0.3197, test F1 is 0.4199, test acc is 0.8278, test kappa is 0.3303, 
epoch 79, test loss is 0.2645,  test sen is 0.5993, test spe is 0.3346, test F1 is 0.4294, test acc is 0.8377, test kappa is 0.3436, 
epoch 80, test loss is 0.2482,  test sen is 0.5983, test spe is 0.3704, test F1 is 0.4575, test acc is 0.8554, test kappa is 0.3794, 
epoch 81, test loss is 0.2470,  test sen is 0.5462, test spe is 0.3619, test F1 is 0.4354, test acc is 0.8556, test kappa is 0.3565, 
epoch 82, test loss is 0.2482,  test sen is 0.6273, test spe is 0.3551, test F1 is 0.4535, test acc is 0.8460, test kappa is 0.3718, 
epoch 83, test loss is 0.2555,  test sen is 0.5546, test spe is 0.3431, test F1 is 0.4239, test acc is 0.8464, test kappa is 0.3409, 
epoch 84, test loss is 0.2399,  test sen is 0.4932, test spe is 0.3890, test F1 is 0.4349, test acc is 0.8694, test kappa is 0.3623, 
epoch 85, test loss is 0.2298,  test sen is 0.6554, test spe is 0.4010, test F1 is 0.4975, test acc is 0.8651, test kappa is 0.4248, 
epoch 86, test loss is 0.2569,  test sen is 0.6478, test spe is 0.3479, test F1 is 0.4527, test acc is 0.8404, test kappa is 0.3691, 
epoch 87, test loss is 0.2753,  test sen is 0.6734, test spe is 0.3163, test F1 is 0.4305, test acc is 0.8184, test kappa is 0.3388, 
epoch 88, test loss is 0.2583,  test sen is 0.6237, test spe is 0.3406, test F1 is 0.4406, test acc is 0.8386, test kappa is 0.3557, 
epoch 89, test loss is 0.2675,  test sen is 0.5893, test spe is 0.3092, test F1 is 0.4056, test acc is 0.8240, test kappa is 0.3139, 
epoch 90, test loss is 0.2393,  test sen is 0.5034, test spe is 0.3791, test F1 is 0.4325, test acc is 0.8654, test kappa is 0.3579, 
epoch 91, test loss is 0.2340,  test sen is 0.6065, test spe is 0.3649, test F1 is 0.4557, test acc is 0.8524, test kappa is 0.3763, 
epoch 92, test loss is 0.2456,  test sen is 0.5988, test spe is 0.3368, test F1 is 0.4312, test acc is 0.8390, test kappa is 0.3458, 
epoch 93, test loss is 0.2441,  test sen is 0.6811, test spe is 0.3427, test F1 is 0.4560, test acc is 0.8344, test kappa is 0.3707, 
epoch 94, test loss is 0.2535,  test sen is 0.6594, test spe is 0.3237, test F1 is 0.4342, test acc is 0.8249, test kappa is 0.3446, 
epoch 95, test loss is 0.2299,  test sen is 0.5495, test spe is 0.3856, test F1 is 0.4532, test acc is 0.8649, test kappa is 0.3788, 
epoch 96, test loss is 0.2316,  test sen is 0.6191, test spe is 0.3678, test F1 is 0.4614, test acc is 0.8527, test kappa is 0.3825, 
epoch 97, test loss is 0.2293,  test sen is 0.5606, test spe is 0.3784, test F1 is 0.4518, test acc is 0.8614, test kappa is 0.3759, 
epoch 98, test loss is 0.2401,  test sen is 0.5991, test spe is 0.3454, test F1 is 0.4382, test acc is 0.8435, test kappa is 0.3548, 
epoch 99, test loss is 0.2417,  test sen is 0.5752, test spe is 0.3408, test F1 is 0.4280, test acc is 0.8433, test kappa is 0.3441, 
epoch 100, test loss is 0.2389,  test sen is 0.6536, test spe is 0.3479, test F1 is 0.4541, test acc is 0.8399, test kappa is 0.3704, 
epoch 101, test loss is 0.2532,  test sen is 0.6439, test spe is 0.3312, test F1 is 0.4374, test acc is 0.8312, test kappa is 0.3499, 
