epoch 0, test loss is 0.5287,  test sen is 0.0000, test spe is 0.0588, test F1 is 0.0001, test acc is 0.8981, test kappa is -0.0000, 
epoch 1, test loss is 0.5141,  test sen is 0.0000, test spe is 1.0000, test F1 is 0.0001, test acc is 0.8981, test kappa is 0.0001, 
epoch 3, test loss is 0.5915,  test sen is 0.0035, test spe is 0.1264, test F1 is 0.0069, test acc is 0.8960, test kappa is 0.0013, 
epoch 4, test loss is 0.6087,  test sen is 0.0089, test spe is 0.1385, test F1 is 0.0167, test acc is 0.8934, test kappa is 0.0045, 
epoch 5, test loss is 0.6078,  test sen is 0.0206, test spe is 0.1847, test F1 is 0.0371, test acc is 0.8909, test kappa is 0.0170, 
epoch 6, test loss is 0.5513,  test sen is 0.0259, test spe is 0.3991, test F1 is 0.0486, test acc is 0.8968, test kappa is 0.0366, 
epoch 7, test loss is 0.6083,  test sen is 0.0496, test spe is 0.1720, test F1 is 0.0770, test acc is 0.8788, test kappa is 0.0329, 
epoch 8, test loss is 0.5970,  test sen is 0.0488, test spe is 0.2181, test F1 is 0.0798, test acc is 0.8852, test kappa is 0.0442, 
epoch 12, test loss is 0.4967,  test sen is 0.0128, test spe is 0.2466, test F1 is 0.0243, test acc is 0.8954, test kappa is 0.0144, 
epoch 23, test loss is 0.4803,  test sen is 0.0117, test spe is 0.2570, test F1 is 0.0224, test acc is 0.8958, test kappa is 0.0137, 
epoch 24, test loss is 0.4363,  test sen is 0.0114, test spe is 0.2741, test F1 is 0.0219, test acc is 0.8962, test kappa is 0.0139, 
epoch 28, test loss is 0.4229,  test sen is 0.0126, test spe is 0.2457, test F1 is 0.0240, test acc is 0.8954, test kappa is 0.0142, 
epoch 34, test loss is 0.4031,  test sen is 0.0153, test spe is 0.2414, test F1 is 0.0287, test acc is 0.8948, test kappa is 0.0168, 
epoch 37, test loss is 0.3920,  test sen is 0.0165, test spe is 0.2531, test F1 is 0.0309, test acc is 0.8948, test kappa is 0.0187, 
epoch 38, test loss is 0.3769,  test sen is 0.0170, test spe is 0.2546, test F1 is 0.0319, test acc is 0.8948, test kappa is 0.0194, 
epoch 39, test loss is 0.4522,  test sen is 0.7129, test spe is 0.2412, test F1 is 0.3605, test acc is 0.7423, test kappa is 0.2456, 
epoch 40, test loss is 0.4483,  test sen is 0.8260, test spe is 0.2404, test F1 is 0.3724, test acc is 0.7163, test kappa is 0.2548, 
epoch 41, test loss is 0.3925,  test sen is 0.6982, test spe is 0.2606, test F1 is 0.3795, test acc is 0.7674, test kappa is 0.2714, 
epoch 42, test loss is 0.3138,  test sen is 0.7240, test spe is 0.3580, test F1 is 0.4791, test acc is 0.8396, test kappa is 0.3969, 
epoch 43, test loss is 0.3010,  test sen is 0.6956, test spe is 0.3128, test F1 is 0.4316, test acc is 0.8133, test kappa is 0.3386, 
epoch 44, test loss is 0.2918,  test sen is 0.6623, test spe is 0.3941, test F1 is 0.4942, test acc is 0.8618, test kappa is 0.4201, 
epoch 60, test loss is 0.2861,  test sen is 0.7012, test spe is 0.3051, test F1 is 0.4252, test acc is 0.8068, test kappa is 0.3300, 
epoch 61, test loss is 0.2531,  test sen is 0.5697, test spe is 0.4077, test F1 is 0.4753, test acc is 0.8718, test kappa is 0.4045, 
epoch 62, test loss is 0.2466,  test sen is 0.7734, test spe is 0.3558, test F1 is 0.4874, test acc is 0.8342, test kappa is 0.4043, 
epoch 84, test loss is 0.2399,  test sen is 0.4932, test spe is 0.3890, test F1 is 0.4349, test acc is 0.8694, test kappa is 0.3623, 
epoch 85, test loss is 0.2298,  test sen is 0.6554, test spe is 0.4010, test F1 is 0.4975, test acc is 0.8651, test kappa is 0.4248, 
epoch 97, test loss is 0.2293,  test sen is 0.5606, test spe is 0.3784, test F1 is 0.4518, test acc is 0.8614, test kappa is 0.3759, 
epoch 103, test loss is 0.2278,  test sen is 0.5305, test spe is 0.3844, test F1 is 0.4458, test acc is 0.8656, test kappa is 0.3715, 
epoch 104, test loss is 0.2166,  test sen is 0.4496, test spe is 0.4802, test F1 is 0.4644, test acc is 0.8943, test kappa is 0.4059, 
epoch 134, test loss is 0.2490,  test sen is 0.3861, test spe is 0.5084, test F1 is 0.4389, test acc is 0.8994, test kappa is 0.3848, 
epoch 135, test loss is 0.2181,  test sen is 0.5859, test spe is 0.4607, test F1 is 0.5158, test acc is 0.8879, test kappa is 0.4535, 
epoch 138, test loss is 0.2007,  test sen is 0.5474, test spe is 0.5460, test F1 is 0.5467, test acc is 0.9075, test kappa is 0.4952, 
epoch 139, test loss is 0.2125,  test sen is 0.4151, test spe is 0.5708, test F1 is 0.4806, test acc is 0.9086, test kappa is 0.4319, 
epoch 145, test loss is 0.2081,  test sen is 0.6537, test spe is 0.4766, test F1 is 0.5513, test acc is 0.8916, test kappa is 0.4913, 
epoch 146, test loss is 0.2145,  test sen is 0.5084, test spe is 0.5648, test F1 is 0.5351, test acc is 0.9100, test kappa is 0.4854, 
epoch 161, test loss is 0.2330,  test sen is 0.3764, test spe is 0.6237, test F1 is 0.4695, test acc is 0.9133, test kappa is 0.4254, 
epoch 165, test loss is 0.2077,  test sen is 0.4815, test spe is 0.6010, test F1 is 0.5347, test acc is 0.9146, test kappa is 0.4883, 
best loss is 0.2007, best F1 is 0.5513, best acc is 0.9146, best kappa is 0.4952, 
learning rate 0.0002, Max Epoch is 200
