epoch 0, test loss is 0.5122,  test sen is 0.0008, test spe is 0.0480, test F1 is 0.0016, test acc is 0.9046, test kappa is -0.0015, 
epoch 1, test loss is 0.4346,  test sen is 0.0003, test spe is 0.0989, test F1 is 0.0005, test acc is 0.9059, test kappa is 0.0000, 
epoch 2, test loss is 0.3706,  test sen is 0.0001, test spe is 0.0833, test F1 is 0.0001, test acc is 0.9060, test kappa is -0.0000, 
epoch 3, test loss is 0.4347,  test sen is 0.0082, test spe is 0.2826, test F1 is 0.0159, test acc is 0.9049, test kappa is 0.0106, 
epoch 4, test loss is 0.4102,  test sen is 0.0196, test spe is 0.2759, test F1 is 0.0365, test acc is 0.9031, test kappa is 0.0244, 
epoch 5, test loss is 0.5126,  test sen is 0.0174, test spe is 0.1276, test F1 is 0.0306, test acc is 0.8966, test kappa is 0.0083, 
epoch 6, test loss is 0.4231,  test sen is 0.0102, test spe is 0.1252, test F1 is 0.0189, test acc is 0.9003, test kappa is 0.0048, 
epoch 7, test loss is 0.4508,  test sen is 0.0075, test spe is 0.0946, test F1 is 0.0138, test acc is 0.9001, test kappa is 0.0001, 
epoch 8, test loss is 0.3829,  test sen is 0.0057, test spe is 0.0968, test F1 is 0.0108, test acc is 0.9016, test kappa is 0.0003, 
epoch 9, test loss is 0.4291,  test sen is 0.0047, test spe is 0.0718, test F1 is 0.0089, test acc is 0.9008, test kappa is -0.0028, 
epoch 10, test loss is 0.3332,  test sen is 0.0039, test spe is 0.0809, test F1 is 0.0075, test acc is 0.9023, test kappa is -0.0012, 
epoch 11, test loss is 0.3731,  test sen is 0.0037, test spe is 0.0659, test F1 is 0.0071, test acc is 0.9015, test kappa is -0.0030, 
epoch 12, test loss is 0.3376,  test sen is 0.0035, test spe is 0.0711, test F1 is 0.0066, test acc is 0.9021, test kappa is -0.0022, 
epoch 13, test loss is 0.4310,  test sen is 0.0037, test spe is 0.0529, test F1 is 0.0070, test acc is 0.9002, test kappa is -0.0055, 
epoch 14, test loss is 0.3230,  test sen is 0.0041, test spe is 0.0927, test F1 is 0.0078, test acc is 0.9027, test kappa is -0.0001, 
epoch 15, test loss is 0.3300,  test sen is 0.0035, test spe is 0.0706, test F1 is 0.0066, test acc is 0.9021, test kappa is -0.0022, 
epoch 16, test loss is 0.3419,  test sen is 0.0036, test spe is 0.0706, test F1 is 0.0068, test acc is 0.9020, test kappa is -0.0023, 
epoch 17, test loss is 0.3043,  test sen is 0.0039, test spe is 0.0865, test F1 is 0.0075, test acc is 0.9026, test kappa is -0.0006, 
epoch 18, test loss is 0.3300,  test sen is 0.0038, test spe is 0.0770, test F1 is 0.0072, test acc is 0.9022, test kappa is -0.0016, 
epoch 19, test loss is 0.3193,  test sen is 0.0040, test spe is 0.0838, test F1 is 0.0076, test acc is 0.9024, test kappa is -0.0009, 
epoch 20, test loss is 0.3137,  test sen is 0.0034, test spe is 0.0699, test F1 is 0.0064, test acc is 0.9022, test kappa is -0.0022, 
epoch 21, test loss is 0.2891,  test sen is 0.0046, test spe is 0.1007, test F1 is 0.0088, test acc is 0.9027, test kappa is 0.0006, 
epoch 22, test loss is 0.2706,  test sen is 0.0052, test spe is 0.1127, test F1 is 0.0099, test acc is 0.9028, test kappa is 0.0017, 
epoch 23, test loss is 0.2965,  test sen is 0.0045, test spe is 0.0902, test F1 is 0.0086, test acc is 0.9022, test kappa is -0.0004, 
epoch 24, test loss is 0.2763,  test sen is 0.0053, test spe is 0.1121, test F1 is 0.0101, test acc is 0.9027, test kappa is 0.0017, 
epoch 25, test loss is 0.2734,  test sen is 0.0056, test spe is 0.1239, test F1 is 0.0107, test acc is 0.9029, test kappa is 0.0026, 
epoch 26, test loss is 0.2629,  test sen is 0.0058, test spe is 0.1235, test F1 is 0.0111, test acc is 0.9028, test kappa is 0.0027, 
epoch 27, test loss is 0.2545,  test sen is 0.0070, test spe is 0.1478, test F1 is 0.0134, test acc is 0.9029, test kappa is 0.0049, 
epoch 28, test loss is 0.2709,  test sen is 0.0060, test spe is 0.1096, test F1 is 0.0114, test acc is 0.9021, test kappa is 0.0017, 
epoch 29, test loss is 0.2631,  test sen is 0.0065, test spe is 0.1186, test F1 is 0.0124, test acc is 0.9021, test kappa is 0.0026, 
epoch 30, test loss is 0.2506,  test sen is 0.0069, test spe is 0.1278, test F1 is 0.0130, test acc is 0.9023, test kappa is 0.0035, 
epoch 31, test loss is 0.2439,  test sen is 0.0085, test spe is 0.1685, test F1 is 0.0162, test acc is 0.9029, test kappa is 0.0072, 
epoch 32, test loss is 0.2666,  test sen is 0.0064, test spe is 0.1175, test F1 is 0.0121, test acc is 0.9022, test kappa is 0.0025, 
epoch 33, test loss is 0.2712,  test sen is 0.0067, test spe is 0.1140, test F1 is 0.0127, test acc is 0.9018, test kappa is 0.0023, 
