epoch 0, test loss is 0.5122,  test sen is 0.0008, test spe is 0.0480, test F1 is 0.0016, test acc is 0.9046, test kappa is -0.0015, 
epoch 1, test loss is 0.4346,  test sen is 0.0003, test spe is 0.0989, test F1 is 0.0005, test acc is 0.9059, test kappa is 0.0000, 
epoch 2, test loss is 0.3706,  test sen is 0.0001, test spe is 0.0833, test F1 is 0.0001, test acc is 0.9060, test kappa is -0.0000, 
epoch 3, test loss is 0.4347,  test sen is 0.0082, test spe is 0.2826, test F1 is 0.0159, test acc is 0.9049, test kappa is 0.0106, 
epoch 4, test loss is 0.4102,  test sen is 0.0196, test spe is 0.2759, test F1 is 0.0365, test acc is 0.9031, test kappa is 0.0244, 
epoch 10, test loss is 0.3332,  test sen is 0.0039, test spe is 0.0809, test F1 is 0.0075, test acc is 0.9023, test kappa is -0.0012, 
epoch 14, test loss is 0.3230,  test sen is 0.0041, test spe is 0.0927, test F1 is 0.0078, test acc is 0.9027, test kappa is -0.0001, 
epoch 17, test loss is 0.3043,  test sen is 0.0039, test spe is 0.0865, test F1 is 0.0075, test acc is 0.9026, test kappa is -0.0006, 
epoch 21, test loss is 0.2891,  test sen is 0.0046, test spe is 0.1007, test F1 is 0.0088, test acc is 0.9027, test kappa is 0.0006, 
epoch 22, test loss is 0.2706,  test sen is 0.0052, test spe is 0.1127, test F1 is 0.0099, test acc is 0.9028, test kappa is 0.0017, 
epoch 26, test loss is 0.2629,  test sen is 0.0058, test spe is 0.1235, test F1 is 0.0111, test acc is 0.9028, test kappa is 0.0027, 
epoch 27, test loss is 0.2545,  test sen is 0.0070, test spe is 0.1478, test F1 is 0.0134, test acc is 0.9029, test kappa is 0.0049, 
epoch 30, test loss is 0.2506,  test sen is 0.0069, test spe is 0.1278, test F1 is 0.0130, test acc is 0.9023, test kappa is 0.0035, 
epoch 31, test loss is 0.2439,  test sen is 0.0085, test spe is 0.1685, test F1 is 0.0162, test acc is 0.9029, test kappa is 0.0072, 
epoch 35, test loss is 0.2379,  test sen is 0.8202, test spe is 0.4046, test F1 is 0.5419, test acc is 0.8698, test kappa is 0.4760, 
epoch 40, test loss is 0.2375,  test sen is 0.8300, test spe is 0.4025, test F1 is 0.5421, test acc is 0.8683, test kappa is 0.4758, 
epoch 41, test loss is 0.2312,  test sen is 0.8091, test spe is 0.3913, test F1 is 0.5275, test acc is 0.8639, test kappa is 0.4590, 
epoch 43, test loss is 0.2465,  test sen is 0.8391, test spe is 0.4313, test F1 is 0.5698, test acc is 0.8810, test kappa is 0.5088, 
epoch 123, test loss is 0.2296,  test sen is 0.8684, test spe is 0.3731, test F1 is 0.5219, test acc is 0.8506, test kappa is 0.4496, 
epoch 126, test loss is 0.2187,  test sen is 0.8677, test spe is 0.3842, test F1 is 0.5326, test acc is 0.8570, test kappa is 0.4626, 
epoch 127, test loss is 0.2156,  test sen is 0.8626, test spe is 0.4000, test F1 is 0.5465, test acc is 0.8656, test kappa is 0.4798, 
epoch 136, test loss is 0.2113,  test sen is 0.8623, test spe is 0.4186, test F1 is 0.5636, test acc is 0.8746, test kappa is 0.5005, 
epoch 147, test loss is 0.2098,  test sen is 0.8410, test spe is 0.4224, test F1 is 0.5624, test acc is 0.8771, test kappa is 0.4999, 
epoch 148, test loss is 0.1979,  test sen is 0.8091, test spe is 0.4513, test F1 is 0.5794, test acc is 0.8897, test kappa is 0.5218, 
epoch 155, test loss is 0.1847,  test sen is 0.8270, test spe is 0.4685, test F1 is 0.5982, test acc is 0.8957, test kappa is 0.5434, 
best loss is 0.1847, best F1 is 0.5982, best acc is 0.9060, best kappa is 0.5434, 
learning rate 0.0002, Max Epoch is 200
